Cod;Nombres;Sexo
692;Anahid;F
693;Anais;F
694;Analaura;F
695;Analena;F
696;Anali;F
697;Analia;F
698;Analis;F
699;Analisa;F
700;Analiz;F
701;Analua;F
702;Analuz;F
703;Analy;F
704;Anamilla;F
705;Anamlor;F
706;Ananda;F
707;Anandi;F
708;Anando;M
709;Ananias;M
710;Ananquel;F
711;Anarda;F
712;Anasol;F
713;Anastacia;F
714;Anastasia;F
715;Anastasio;M
716;Anastay;F
717;Anat;A
718;Anatalon;M
719;Anatiel;F
720;Anatilde;F
721;Anatol;M
722;Anatole;M
723;Anatolia;F
724;Anatolio;M
725;Anatonia;F
726;Anaxagoras;M
727;Ancelin;F
728;Ande;M
729;Andeolo;M
730;Ander;M
731;Anders;M
732;Andi;F
733;Andina;F
734;Andino;M
735;Andoni;M
736;Andoquio;M
737;Andra;F
738;Andranik;M
739;Andras;A
740;Andre;M
741;Andrea;A
742;Andreana;F
743;Andreas;M
744;Andrei;M
745;Andreina;F
746;Andres;M
747;Andretta;F
748;Andreus;M
749;Andrew;M
750;Andrey;M
751;Andrian;M
752;Andriela;F
753;Andries;M
754;Andro;M
755;Androcles;M
756;Androgeo;M
757;Andromaca;F
758;Andromeda;F
759;Andronico;M
760;Andry;M
761;Andura;F
762;Andy;M
763;Anecto;M
764;Aneider;F
765;Anele;M
766;Anelei;F
767;Anelen;F
768;Anelida;F
769;Anelina;F
770;Anelisa;F
771;Anelise;F
772;Anella;F
773;Anemone;F
774;Anempodisto;M
775;Anera;F
776;Añes;F
777;Anesio;M
778;Anette;F
779;Anezka;F
780;Anfiloquio;M
781;Anfion;M
782;Angel;M
783;Angela;F
784;Angeles;F
785;Angelia;F
786;Angelica;F
787;Angelico;M
788;Angelina;F
789;Angeline;F
790;Angelines;F
791;Angelique;F
792;Angelo;M
793;Angeni;F
794;Angie;F
795;Angilberto;M
796;Angiolina;F
797;Angulo;M
798;Angus;M
799;Angustias;F
800;Anhelen;F
801;Ani;F
802;Añi Nala;F
803;Ania;F
804;Aniah;M
805;Aniana;F
806;Aniano;M
807;Anibal;M
808;Anica;F
809;Aniceto;M
810;Aniela;F
811;Anieli;M
812;Aniella;F
813;Aniello;M
814;Aniko;F
815;Anil;A
816;Anina;F
817;Anine;F
818;Aniria;F
819;Anisa;F
820;Anise;F
821;Anisi;A
822;Anisia;F
823;Anisio;M
824;Anita;F
825;Anixe;F
826;Anju;F
827;Anke;F
828;Anker;M
829;Ankine;F
830;Ann;F
831;Anna;F
832;Annabel;F
833;Annabella;F
834;Annaly;F
835;Anne;F
836;Annelie;F
837;Anneliese;F
838;Annella;F
839;Anneris;F
840;Annette;F
841;Anni;F
842;Annick;F
843;Annie;F
844;Annika;F
845;Annis;F
846;Annoha;F
847;Annora;F
848;Annuar;M
849;Anoel;A
850;Anoha;F
851;Anoki;M
852;Anolfo;M
853;Anon;M
854;Anouk;F
855;Anquises;M
856;Ansano;M
857;Ansberto;M
858;Anscario;M
859;Ansel;M
860;Anselme;M
861;Anselmo;M
862;Ansley;A
863;Ansovino;M
864;Antar;M
865;Antara;F
866;Antares;M
867;Anteia;F
868;Antelmo;M
869;Antelo;M
870;Antenor;M
871;Anteo;M
872;Antero;M
873;Antes;M
874;Anthea;F
875;Anthony;M
876;Anti;A
877;Antia;F
878;Antidio;M
879;Antigona;F
880;Antigono;M
881;Antimo;M
882;Antinisca;F
883;Antino;M
884;Antinogenes;M
885;Antioco;M
886;Antipas;M
887;Antje;F
888;Antoine;M
889;Antoliano;M
890;Antolin;M
891;Antolina;F
892;Anton;M
893;Antonela;F
894;Antonella;F
895;Antonello;M
896;Antonia;F
897;Antonieta;F
898;Antonina;F
899;Antonino;M
900;Antonio;M
901;Antony;M
902;Antranig;M
903;Antsise;M
904;Antu;A
905;Antual;M
906;Antuan;M
907;Antun;M
908;Antusa;F
909;Anuar;M
910;Anuk;F
911;Anunciacion;F
912;Anunciada;F
913;Anush;F
914;Anwar;M
915;Any;F
916;Anya;F
917;Anyel;F
918;Anyelen;F
919;Aoife;F
920;Aolani;F
921;Aoniken;F
922;Aparicio;M
923;Apaz;M
924;Apees;M
925;Apeles;M
926;Apelio;M
927;Apia;F
928;Apiano;M
929;Apirka;F
930;Apodemio;M
931;Apolinar;M
932;Apolinaria;F
933;Apolinario;M
934;Apollinaire;M
935;Apolline;F
936;Apolo;M
937;Apolodoro;M
938;Apolonia;F
939;Apolonio;M
940;Aponi;F
941;April;F
942;Apro;M
943;Aproniano;M
944;Aptonio;M
945;Apuleyo;M
946;Aquene;F
947;Aquila;M
948;Aquileo;M
949;Aquiles;M
950;Aquilesia;F
951;Aquilina;F
952;Aquilino;M
953;Ara;A
954;Arabela;F
955;Arabia;M
956;Araceli;F
957;Aracelis;F
958;Aracelli;F
959;Araci;F
960;Aracio;M
961;Aracoeli;F
962;Aracy;F
963;Arador;M
964;Arai;A
965;Arakel;M
966;Araksi;F
967;Aram;M
968;Arami;A
969;Aramil;A
970;Araminta;F
971;Aramis;M
972;Arandu;A
973;Arantxa;F
974;Arantza;F
975;Arantzazu;F
976;Aranzazu;F
977;Arapey;F
978;Arash;M
979;Araucaria;F
980;Arauco;M
981;Araxi;F
982;Arbogasto;M
983;Arcadia;F
984;Arcadio;M
985;Arcana;F
986;Arcangel;M
987;Arcangela;F
988;Arcelia;F
989;Archaluis;M
990;Archer;M
991;Archibald;M
992;Archibaldo;M
993;Arconcio;M
994;Ardaches;M
995;Ardalion;M
996;Ardashes;M
997;Ardelia;F
998;Arden;M
999;Ardin;M
1000;Ardis;F
1001;Ardon;M
1002;Arduino;M
1003;Are;A
1004;Areb;M
1005;Arecio;M
1006;Aref;M
1007;Arek;M
1008;Arel;A
1009;Areli;F
1010;Areliz;F
1011;Arella;F
1012;Aren;M
1013;Arena;F
1014;Ares;M
1015;Aresio;M
1016;Aretas;M
1017;Aretha;F
1018;Aretina;F
1019;Aretusa;F
1020;Arev;A
1021;Arge;A
1022;Argelia;F
1023;Argen;F
1024;Argentina;F
1025;Argentino;M
1026;Argeo;M
1027;Argimiro;M
1028;Argos;M
1029;Argus;M
1030;Argyroula;A
1031;Ari;M
1032;Aria;F
1033;Ariadna;F
1034;Ariadne;F
1035;Arian;M
1036;Ariana;F
1037;Ariane;F
1038;Arianna;F
1039;Arianne;F
1040;Ariano;M
1041;Aric;M
1042;Aricel;F
1043;Aricelli;F
1044;Aricia;F
1045;Aricin;M
1046;Arie;M
1047;Arieh;M
1048;Ariel;M
1049;Ariela;F
1050;Ariella;F
1051;Ariene;F
1052;Arif;M
1053;Arik;M
1054;Arim;M
1055;Ario;M
1056;Arion;M
1057;Ariosto;M
1058;Aris;M
1059;Arista;F
1060;Aristarco;M
1061;Aristeo;M
1062;Aristides;M
1063;Aristion;M
1064;Aristipo;M
1065;Aristo;M
1066;Aristobulo;M
1067;Aristocles;M
1068;Aristofanes;M
1069;Ariston;M
1070;Aristonico;M
1071;Aristoteles;M
1072;Arjuna;A
1073;Arkin;M
1074;Arlene;F
1075;Arlinet;F
1076;Arman;M
1077;Armand;M
1078;Armanda;F
1079;Armande;M
1080;Armandina;F
1081;Armando;M
1082;Armen;M
1083;Armenia;F
1084;Armentaria;F
1085;Armentario;M
1086;Armenuhi;F
1087;Armida;F
1088;Arminda;F
1089;Armindo;M
1090;Armogastes;M
1091;Armonia;F
1092;Arnaldo;M
1093;Arnaud;M
1094;Arndt;M
1095;Arne;M
1096;Arneris;F
1097;Arnie;M
1098;Arno;M
1099;Arnol;M
1100;Arnold;M
1101;Arnoldo;M
1102;Arnolfo;M
1103;Arnon;M
1104;Arnulfo;M
1105;Aroldo;M
1106;Aron;M
1107;Aroncio;M
1108;Arquelao;M
1109;Arquimedes;M
1110;Arquipo;M
1111;Arrigo;M
1112;Arrio;M
1113;Arsacio;M
1114;Arsen;M
1115;Arsenio;M
1116;Arshak;M
1117;Art;M
1118;Artajerjes;M
1119;Artemio;M
1120;Artemisa;F
1121;Artemon;M
1122;Arthur;M
1123;Artin;M
1124;Arturo;M
1125;Aruanda;F
1126;Aruna;F
1127;Aruni;A
1128;Arvid;M
1129;Ary;M
1130;Aryan;M
1131;Aryana;F
1132;Arydea;F
1133;Arye;M
1134;Asaar;M
1135;Asael;M
1136;Asaf;M
1137;Asafo;M
1138;Asbed;M
1139;Asbel;M
1140;Ascension;A
1141;Ascla;F
1142;Asclas;M
1143;Asclepiades;M
1144;Asclepiodoto;M
1145;Asdrubal;M
1146;Asei;M
1147;Asela;F
1148;Asencio;M
1149;Aser;M
1150;Aset;M
1151;Asha;F
1152;Asher;M
1153;Ashera;F
1154;Ashford;M
1155;Ashjen;M
1156;Ashlan;A
1157;Ashley;A
1158;Ashlin;M
1159;Ashling;F
1160;Ashtar;M
1161;Ashur;M
1162;Asia;F
1163;Asier;M
1164;Asincrito;M
1165;Asis;M
1166;Asise;M
1167;Aslan;M
1168;Asmara;F
1169;Asmodeo;M
1170;Aspasia;F
1171;Aspreno;M
1172;Assur;M
1173;Asta;F
1174;Astalora;F
1175;Astera;F
1176;Asteria;F
1177;Asterio;M
1178;Astio;M
1179;Astor;M
1180;Astra;F
1181;Astrea;F
1182;Astrid;F
1183;Asuero;M
1184;Asuncion;F
1185;Atahualpa;M
1186;Atahualpa d.l.Andes;M
1187;Atalia;F
1188;Atalicio;M
1189;Ataliva;M
1190;Atalo;M
1191;Atanasia;F
1192;Atanasio;M
1193;Atara;F
1194;Atenas;F
1195;Atenea;F
1196;Atenodoro;M
1197;Atenogenes;M
1198;Athalia;F
1199;Athan;M
1200;Athena;F
1201;Athenas;F
1202;Atherton;M
1203;Athina;F
1204;Athos;M
1205;Atica;F
1206;Atico;M
1207;Atieh;M
1208;Atiel;M
1209;Atifa;F
1210;Atila;M
1211;Atilano;M
1212;Atilio;M
1213;Aton;M
1214;Attar;M
1215;Atuel;M
1216;Atzin;A
1217;Auberta;F
1218;Auberto;M
1219;Aubino;M
1220;Aubrey;M
1221;Auca;M
1222;Aucan;A
1223;Aucto;M
1224;Auda;F
1225;Audacto;M
1226;Audaz;M
1227;Audberto;M
1228;Aude;F
1229;Audelina;F
1230;Auden;M
1231;Audi;F
1232;Audifaz;M
1233;Audoeno;M
1234;Audomaro;M
1235;Audra;F
1236;Audrey;F
1237;Audric;M
1238;Audry;F
1239;Audun;M
1240;Augulo;M
1241;Augurio;M
1242;August;M
1243;Augusta;F
1244;Augustal;M
1245;Augustin;M
1246;Augustine;A
1247;Augusto;M
1248;Augustus;M
1249;Auki;A
1250;Aunario;M
1251;Aure;F
1252;Aurea;F
1253;Auree;F
1254;Aurek;F
1255;Aurelia;F
1256;Aureliano;M
1257;Aurelio;M
1258;Aureo;M
1259;Auri;F
1260;Auria;F
1261;Aurilia;F
1262;Aurora;F
1263;Ausano;M
1264;Ausonio;M
1265;Auspicio;M
1266;Austin;M
1267;Austreberta;F
1268;Austregisilo;M
1269;Austremonio;M
1270;Austricliniano;M
1271;Autana;F
1272;Autonomo;M
1273;Autumm;F
1274;Auxano;M
1275;Auxencio;M
1276;Auxibio;M
1277;Auxilio;M
1278;Auxtina;F
1279;Ava;F
1280;Avedis;M
1281;Avelino;M
1282;Avena;F
1283;Aventino;M
1284;Avery;M
1285;Avi;A
1286;Avigdor;M
1287;Avilio;M
1288;Avital;F
1289;Avito;M
1290;Aviv;M
1291;Aviva;F
1292;Avril;F
1293;Axel;M
1294;Aya;F
1295;Ayalen;F
1296;Ayame;F
1297;Ayarai;M
1298;Ayax;M
1299;Ayelen;F
1300;Ayelet;F
1301;Ayen;F
1302;Ayerai;A
1303;Ayesa;F
1304;Ayesha;F
1305;Ayhesa;F
1306;Ayiana;F
1307;Ayisha;F
1308;Ayita;F
1309;Ayla;F
1310;Aylen;A
1311;Aylin;F
1312;Aymara;F
1313;Aymee;F
1314;Ayoka;F
1315;Ayrampu;A
1316;Ayren;A
1317;Ayrton;M
1318;Ayumi;F
1319;Ayun;A
1320;Azadanes;M
1321;Azades;M
1322;Azael;M
1323;Azalea;F
1324;Azalia;F
1325;Azarias;M
1326;Azariel;M
1327;Azas;M
1328;Azize;M
1329;Azrael;M
1330;Azucena;F
1331;Azul;F
1332;Babet;F
1333;Babette;F
1334;Babilas;M
1335;Bachar;F
1336;Baco;M
1337;Badda;F
1338;Bademo;M
1339;Bader;M
1340;Badiha;F
1341;Badir;M
1342;Badra;F
1343;Bahari;M
1344;Bahia;F
1345;Bahiana;F
1346;Bahiano;M
1347;Bahich;M
1348;Bailey;M
1349;Bainbridge;M
1350;Baird;M
1351;Baka;F
1352;Balarama;M
1353;Balbiana;F
1354;Balbina;F
1355;Balbino;M
1356;Balbo;M
1357;Balder;M
1358;Baldomero;M
1359;Balduino;M
1360;Baldur;M
1361;Baldwin;M
1362;Bali;M
1363;Balint;M
1364;Baliwani;F
1365;Ballard;A
1366;Baltar;M
1367;Baltasar;M
1368;Baltazar;M
1369;Balthazar;M
1370;Bambu;M
1371;Banbury;M
1372;Bancroft;M
1373;Baptiste;M
1374;Baraquisio;M
1375;Barbaciano;M
1376;Barbara;F
1377;Barbato;M
1378;Barbea;F
1379;Barbelo;M
1380;Barclay;M
1381;Barcli;F
1382;Barden;M
1383;Bardomiano;M
1384;Baris;M
1385;Barkev;M
1386;Barlaan;M
1387;Barnabas;M
1388;Barnard;M
1389;Barnett;M
1390;Barney;M
1391;Baroncio;M
1392;Barrett;M
1393;Barry;M
1394;Barsabas;M
1395;Barsanufio;M
1396;Barsen;M
1397;Barsimeo;M
1398;Bart;M
1399;Bartolo;M
1400;Bartolome;M
1401;Barton;M
1402;Baruc;M
1403;Baruch;M
1404;Baruir;M
1405;Baruj;M
1406;Barula;M
1407;Basa;F
1408;Basha;F
1409;Basia;F
1410;Basiano;M
1411;Basil;M
1412;Basila;F
1413;Basileo;M
1414;Basiliano;M
1415;Basilides;M
1416;Basilio;M
1417;Basilisa;F
1418;Basilisco;M
1419;Basimah;F
1420;Basolo;M
1421;Bassa;F
1422;Bassi;M
1423;Basso;M
1424;Bast;M
1425;Bastian;M
1426;Bastiana;F
1427;Bat;M
1428;Batana;F
1429;Batia;F
1430;Batilde;F
1431;Batista;M
1432;Batsheva;F
1433;Battista;M
1434;Batul;F
1435;Batya;F
1436;Baudelio;M
1437;Baudilio;M
1438;Bautista;M
1439;Bavon;M
1440;Baxter;M
1441;Bay;A
1442;Bayaceto;M
1443;Bayan;M
1444;Bayard;M
1445;Bayo;F
1446;Bayulo;M
1447;Beacan;M
1448;Beagan;M
1449;Beaman;M
1450;Beano;M
1451;Beata;F
1452;Beato;M
1453;Beatrice;F
1454;Beatrix;F
1455;Beatriz;F
1456;Beatriz del Valle;F
1457;Beattie;F
1458;Beau;M
1459;Beaumont;M
1460;Beauregard;M
1461;Becca;F
1462;Beck;M
1463;Beda;M
1464;Bedelia;F
1465;Beder;M
1466;Begga;F
1467;Begoña;F
1468;Begonia;F
1469;Beism;M
1470;Bejle;F
1471;Bel;F
1472;Bela;A
1473;Belana;F
1474;Belara;F
1475;Belarmino;M
1476;Beldon;M
1477;Belen;A
1478;Belena;F
1479;Belerofonte;M
1480;Belgrano;M
1481;Belia;F
1482;Belinda;F
1483;Belino;M
1484;Belisa;F
1485;Belisario;M
1486;Belkis;F
1487;Belkyss;F
1488;Bell;A
1489;Bella;F
